,Unnamed: 0,Unnamed: 0.1,ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
2,11511,16714,12286267,JE132862,02/05/2021 12:00:00 AM,060XX N ALBANY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,2413,24,50.0,2,08B,1154590.0,1940253.0,2021,02/12/2021 03:49:04 PM,41.991876735,-87.706732924,"(41.991876735, -87.706732924)"
44,67,95,12267103,JE109836,01/04/2021 12:00:00 PM,062XX W GEORGE ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,False,False,2511,25,30.0,19,11,1134107.0,1918611.0,2021,01/16/2021 03:49:23 PM,41.932875476,-87.78258827799999,"(41.932875476, -87.782588278)"
47,26189,38059,12322012,JE177127,03/22/2021 05:00:00 PM,017XX E 74TH ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,324,3,8.0,43,11,1189256.0,1856261.0,2021,03/29/2021 04:53:03 PM,41.76063329,-87.58192750100001,"(41.76063329, -87.581927501)"
90,24339,35385,12316797,JE170873,03/16/2021 06:16:00 PM,044XX N CENTRAL AVE,0460,BATTERY,SIMPLE,BAR OR TAVERN,False,False,1623,16,38.0,15,08B,1138209.0,1928924.0,2021,03/23/2021 05:03:34 PM,41.961102078,-87.767263264,"(41.961102078, -87.767263264)"
91,7299,10831,12276425,JE120784,01/23/2021 05:10:00 AM,028XX W 64TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,823,8,17.0,66,08B,1158382.0,1862074.0,2021,01/30/2021 03:51:02 PM,41.77726935,-87.694924066,"(41.77726935, -87.694924066)"
101,7492,11103,12280561,JE125672,01/06/2021 03:00:00 PM,023XX W VAN BUREN ST,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,False,False,1225,12,27.0,28,11,1160923.0,1898112.0,2021,01/30/2021 03:48:31 PM,41.87610964,-87.68461112700001,"(41.87610964, -87.684611127)"
132,14980,21757,12298346,JE148549,02/12/2021 08:00:00 PM,040XX W 21ST ST,0890,THEFT,FROM BUILDING,APARTMENT,False,False,1012,10,24.0,29,06,1149774.0,1889785.0,2021,02/24/2021 03:46:17 PM,41.853483307,-87.72576300899999,"(41.853483307, -87.725763009)"
148,15556,22562,12301580,JE152550,02/07/2021 05:00:00 PM,017XX W WASHINGTON BLVD,0890,THEFT,FROM BUILDING,RESIDENCE - PORCH / HALLWAY,False,False,1224,12,27.0,28,06,1164580.0,1900735.0,2021,03/02/2021 03:47:53 PM,41.883230736,-87.671109604,"(41.883230736, -87.671109604)"
151,10126,14763,12282390,JE127910,01/30/2021 06:11:00 PM,048XX S HALSTED ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,False,False,935,9,11.0,61,04B,1171791.0,1872612.0,2021,02/06/2021 03:52:06 PM,41.805903102,-87.645457674,"(41.805903102, -87.645457674)"
170,635,932,12265932,JE108657,01/09/2021 07:00:00 PM,070XX N WASHTENAW AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,False,False,2411,24,50.0,2,14,1157090.0,1946451.0,2021,01/16/2021 03:52:53 PM,42.008833724,-87.697367815,"(42.008833724, -87.697367815)"
